"","user_id","retweet_count","hashtags","links","mentions","user_favorites","user_statuses","user_location","rt_user_fav_count","rt_user_stat_count","rt_user_loc","rt_user_id"
"26580",24080454,0,4,FALSE,0,0,4262,NA,NA,NA,NA,NA
"26581",17205449,5,0,FALSE,2,5,18855,NA,66,5536,NA,431648942
"26582",415762268,7,0,FALSE,1,19,10828,NA,27,22128,NA,282695161
"26583",274240084,2,0,FALSE,1,293,20971,NA,2,1365,NA,470129887
"26584",363789925,1,2,FALSE,2,22,629,NA,8,1158,"39.312683,-74.580753",14960796
"26585",169821228,2,0,FALSE,1,7,1151,NA,0,115285,NA,396995779
"26586",93069110,3,0,FALSE,1,6,18758,"",0,290,NA,247723476
"26587",211254604,0,0,FALSE,1,15,2524,NA,NA,NA,NA,NA
"26588",334537201,1,0,FALSE,1,35,12749,NA,0,13398,NA,395078496
"26589",266193428,5,0,FALSE,1,77,15325,NA,0,8262,NA,100270602
"26590",90301912,0,0,FALSE,1,2,83,NA,NA,NA,NA,NA
"26591",53706258,10,0,FALSE,1,0,408,NA,0,1117,NA,342887079
"26592",232971271,0,2,FALSE,1,0,2970,NA,NA,NA,NA,NA
"26593",15370604,4,0,FALSE,1,12,4659,"San Francisco",0,290,NA,247723476
"26594",396995779,0,4,FALSE,0,0,115286,NA,NA,NA,NA,NA
"26595",280130357,0,0,FALSE,0,0,3395,NA,NA,NA,NA,NA
"26596",17103338,5,0,FALSE,1,1200,5178,NA,0,290,NA,247723476
"26597",20185515,0,0,FALSE,0,1,2940,NA,NA,NA,NA,NA
"26598",343376032,0,0,FALSE,0,1,369,NA,NA,NA,NA,NA
"26599",481016968,0,0,FALSE,0,0,384,NA,NA,NA,NA,NA
"26600",154271258,0,1,FALSE,0,1,210,NA,NA,NA,NA,NA
"26601",221870300,0,0,FALSE,0,0,27043,NA,NA,NA,NA,NA
"26602",156036244,0,4,FALSE,0,54,14811,NA,NA,NA,NA,NA
"26603",16528901,0,0,FALSE,2,23,3185,NA,NA,NA,NA,NA
"26604",465119708,0,0,FALSE,1,0,1926,NA,NA,NA,NA,NA
"26605",285809952,0,0,FALSE,0,21,700,NA,NA,NA,NA,NA
"26606",396630751,0,0,FALSE,0,0,1110,NA,NA,NA,NA,NA
"26607",25331555,0,0,FALSE,0,1,11026,"Boise, Idaho",NA,NA,NA,NA
"26608",53706258,9,0,FALSE,1,0,409,NA,0,1117,NA,342887079
"26609",157303969,0,0,FALSE,0,7,452,"cartagena",NA,NA,NA,NA
"26610",395530298,1,0,FALSE,2,8,7526,NA,3,274,NA,515723203
"26611",173114303,0,1,FALSE,1,4,2847,NA,NA,NA,NA,NA
"26612",15491039,0,0,FALSE,1,10,2306,"Austin, Texas",NA,NA,NA,NA
"26613",123407668,0,0,FALSE,1,384,9050,NA,NA,NA,NA,NA
"26614",22044671,0,0,FALSE,0,21,60993,NA,NA,NA,NA,NA
"26615",23519284,0,0,FALSE,1,0,676,"Saskatoon, Saskatchewan",NA,NA,NA,NA
"26616",282813874,27,0,FALSE,1,14,10096,NA,28,20263,NA,14412533
"26617",389157332,0,0,FALSE,1,2,2248,NA,NA,NA,NA,NA
"26618",278940186,0,0,FALSE,1,18,6615,NA,NA,NA,NA,NA
"26619",154271258,3,1,FALSE,1,1,211,NA,1,4466,NA,25910039
"26620",148440395,0,0,FALSE,0,9,3985,NA,NA,NA,NA,NA
"26621",53706258,7,0,FALSE,1,0,410,NA,0,1117,NA,342887079
"26622",186709127,6,0,FALSE,1,56,5198,NA,0,290,NA,247723476
"26623",240430833,0,0,FALSE,0,55,15498,"california",NA,NA,NA,NA
"26624",157862687,0,0,FALSE,0,0,5583,NA,NA,NA,NA,NA
"26625",17813647,0,0,FALSE,1,229,22030,NA,NA,NA,NA,NA
"26626",22687964,0,0,FALSE,1,1,1552,NA,NA,NA,NA,NA
"26627",61842118,1,6,FALSE,1,179,7050,NA,6,17655,"This world is not my home",50836292
"26628",20249570,0,1,FALSE,0,0,301,"San Francisco",NA,NA,NA,NA
"26629",184270826,0,0,FALSE,0,15,9973,NA,NA,NA,NA,NA
